label,auc,ap,sensitivity,specificity,f1,threshold,competition
No Finding,0.9206730769230769,0.6226078265898857,1.0,0.7386363636363636,0.5306122448979592,0.6789879202842712,False
Enlarged Cardiomediastinum,0.599214531173294,0.6189878857361011,0.8857142857142857,0.27835051546391754,0.6940298507462687,0.43148115277290344,False
Cardiomegaly,0.8522727272727273,0.7343837538578969,0.8636363636363636,0.7279411764705883,0.7125,0.34148362278938293,True
Lung Opacity,0.8935143288084465,0.9067018164914952,0.7948717948717948,0.8588235294117648,0.8378378378378378,0.43222716450691223,False
Lung Lesion,0.12437810945273631,0.005649717514124294,1.0,0.12437810945273631,0.011235955056179775,0.2350967675447464,False
Edema,0.9010416666666666,0.7233450707139161,0.8333333333333334,0.875,0.7216494845360825,0.4995981752872467,True
Consolidation,0.8781249999999999,0.5669554147819216,0.96875,0.6294117647058823,0.49206349206349204,0.4271940588951111,True
Pneumonia,0.7873711340206185,0.10528949300982386,0.875,0.6855670103092784,0.18421052631578946,0.46999236941337585,False
Atelectasis,0.8225721784776904,0.7309644558003169,0.8533333333333334,0.6535433070866141,0.6994535519125683,0.40816742181777954,True
Pneumothorax,0.7728937728937729,0.15599012030727682,0.7142857142857143,0.841025641025641,0.23255813953488372,0.6363402605056763,False
Pleural Effusion,0.9110054347826088,0.8638472531823941,0.875,0.8043478260869565,0.7619047619047619,0.3786327838897705,True
Pleural Other,0.845771144278607,0.03125,1.0,0.845771144278607,0.06060606060606061,0.5659925937652588,False
Fracture,,,,,,0.5,False
Support Devices,0.7316857899382172,0.7520131363439398,0.5454545454545454,0.883495145631068,0.6545454545454545,0.5155782103538513,False
